objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
7258,vap7258,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2681910.5 1247269.8),POINT (47.37117657863664 8.523131639351783),3
7262,vap7262,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2681761.2 1247415.6),POINT (47.37250635821295 8.52118176655426),3
7270,vap7270,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2681890.8 1247885.8),POINT (47.37671896059465 8.522983535488438),4
7271,vap7271,Zweirad,Beide,6,,,,,,0,öffentlicher Grund,POINT (2681720.8 1247918.5),POINT (47.3770341504283 8.520738733838575),4
7547,vap7547,Zweirad,Beide,24,,,,,,0,öffentlicher Grund,POINT (2681599.8 1249674.4),POINT (47.3928406117619 8.519456925732214),10
7545,vap7545,Zweirad,Beide,9,,,,,,0,öffentlicher Grund,POINT (2680984.8 1250080),POINT (47.39656421495673 8.511385385528126),10
7553,vap7553,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2683077.5 1249339.6),POINT (47.38964493602123 8.538965113902595),6
7560,vap7560,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2681782.2 1248005),POINT (47.37780446086425 8.521567470217027),4
7571,vap7571,Zweirad,Beide,34,,,,,,0,öffentlicher Grund,POINT (2682619.8 1248040.2),POINT (47.37801653304606 8.532663857624913),4
7578,vap7578,Zweirad,Beide,22,,,,,,0,öffentlicher Grund,POINT (2683105 1247934.9),POINT (47.37700851323735 8.539068409168728),1
7579,vap7579,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2681962.5 1247892.5),POINT (47.37677030144351 8.523934058138993),4
7577,vap7577,Zweirad,Beide,18,,,,,,0,öffentlicher Grund,POINT (2682727.8 1247940.6),POINT (47.37710724217497 8.534075381233263),4
7583,vap7583,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2682247.2 1247186.5),POINT (47.37038549112949 8.527573719153322),4
7588,vap7588,Zweirad,Beide,3,,,,,,0,öffentlicher Grund,POINT (2680888.8 1246778.5),POINT (47.36688430791275 8.509517116125537),3
104489,vap104489,Zweirad,Beide,15,,,,,,0,öffentlicher Grund,POINT (2684140.2 1247639.1),POINT (47.37421690206408 8.552718677529581),7
7598,vap7598,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2681875.2 1246829.8),POINT (47.36722386407998 8.522583856175258),3
104320,vap104320,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2679929.5 1249091.2),POINT (47.38780045606786 8.497231440216787),9
7597,vap7597,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2681588.2 1246760.2),POINT (47.366633514799 8.518772016695436),3
7603,vap7603,Zweirad,Beide,3,,,,,,0,öffentlicher Grund,POINT (2684477.5 1246876.5),POINT (47.367315414945 8.557040328798363),7
7606,vap7606,Zweirad,Beide,9,,,,,,0,öffentlicher Grund,POINT (2684163.8 1246044),POINT (47.35986856506053 8.552731278289681),8
7611,vap7611,Zweirad,Beide,102,,,,,,0,öffentlicher Grund,POINT (2681952.2 1245902.6),POINT (47.35887558751027 8.52343345780144),3
7609,vap7609,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2682303 1244772.5),POINT (47.34866838535745 8.527868801919269),2
7620,vap7620,Zweirad,Beide,5,,,,,,0,öffentlicher Grund,POINT (2680557.2 1245872.6),POINT (47.3587777510665 8.504964625021827),3
7623,vap7623,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2679909 1250699),POINT (47.40226250080905 8.497247207588851),10
7634,vap7634,Zweirad,Beide,10,,,,,Keine,0,öffentlicher Grund,POINT (2680011 1250690.9),POINT (47.40217727119126 8.498596874783209),10
